,text,target
4540,Cuban doctors treat Mexico’s earthquake victims,0.0
375,Twelve feared killed in Pakistani air ambulance helicopter crash    #  worldnews,0.0
4450,A  # pacena on her quest to help Mexico CIty and the earthquake victims including dogs / pets .  Please help  &  share ! ,0.0
3779,Big surprise from the party that has been using the word tsunami as a positive thing for years,0.0
2485,"I just heard about the tsunami alert in New Zealand .  Stay safe, fellow Kiwis . ",0.0
965,Donate  # PrayersForItaly  # TerremotoItalia  # ItalyEarthquake,0.0
1741,PM not ruled out creating Minister to oversee quake recovery .  Told  @ CheckpointRNZ damage so significant cant be left to locals  # eqnz,3.0
253,Can wait to see how pissed Donnie is when I tell him I was in ANOTHER accident  ?    ?  ,0.0
2431,"If you have any pet food that you would be willing to spare, please drop it off to our Animal Centre at 14 Wilmers Road .   # ttrtpt  # eqnz",0.0
1123,RT  @ CCabelloInfo :  We are praying for you ❤ ἞E἟9  # PrayForItaly  @ FifthHarmonyITA  @ 5HItalia  @ CamilaCItalia  @ LaurenJItalia  @ NormaniKHIta️,0.0
1898,Earthquakes  &  Tsunami warnings East Coast NZ Some evacuations due to Tsunami danger Britomart station evacuated,3.0
5178," @ BBC  @ ABC  @ CNN please, if you do a coverage of Mexicos earthquake, dont forget to mention people outside Mexico can donate too",0.0
4214,"RT  @ NazranaYusufzai :  Scary pics  # earthquake 19 dead, more than 300 wounded . ",3.0
2037,RT  @ maryteatowel :   # NZ military on the move to get supplies to stranded settlements  &  bring people out  # eqnz,0.0
4742,"RT  @ mashable :  Instead of feeling hopeless in the face of the destruction, heres how you can help Mexicos earthquake victims . ",0.0
3231,Stay safe everyone .  . ὤFὤFὤFὤFὤF More prayersὤFὤFὤF  # earthquake,0.0
918,247 dead RIP Ὁ4  # terremoto  # TerremotoItalia  # ItalyEarthquake  # earthquake  # PrayForItaly  # PrayersForItaly,3.0
5127,"RT  @ SaintPaulsLA :  We  # pray for the people who were killed in the earthquake in  # Mexico .  We pray, too, for their loved ones, the injured and",0.0
1930,Two people have died and buildings have been destroyed after two earthquakes hit New Zealands South Island   # eqnz,3.0
2977,RT  @ DavidLogan2020 :  New Zealand issues tsunami alert after strong quake,3.0
1733,Our thoughts go out to all those affected by the New Zealand earthquake overnight .  Important advice : ,0.0
3179,RT  @ Muntahagondal13 :   # Earthquake Plz everyone recite Surah ZilzalὤF May Allah keep everyone safeᾓ2ἿB,0.0
3098,Natural disasters do not ask before they knock your doors .  Today 5 . 8 magnitude earthquake hit our grounds but sehat karwan is trying to reach the affected areas .  We will provide free medical and rehab facilities to the affected people and will address the casualties .   # EarthQuake,0.0
2379,RT  @ MarlEmergency :   # Kaikoura Earthquake Relief Fund  -  donations can be made to is BNZ 02 0856 0011698 083 :    # eqnz,0.0
108, @  pwniR3birth   @  pabloknight10   @  chef___DU Are you looking for a soft yolk or hard yolk  ?   If looking for a Japanese styl…,0.0
2601,"RT  @ NWS_NTWC :  Tsunami Info Stmt 4 :  M7 . 9 near South Island, New Zealand 0303PST Nov 13 :  Tsunami NOT expected ;  CA,OR,WA,BC,and AK  # NTWC",3.0
1928,"Strong aftershocks keep happening, including a strong 4 . 8 magnitude shake 10km north of Wellington  # eqnz",3.0
5666,RT  @ ITU :   .  @ ITU emergency communications team being deployed to  # EcuadorEarthquake to strengthen response efforts of Govn  +  aid teams on the,0.0
4323, # hot  -  Pray For Mexico  -  Billie Jean King  -  Brian Boyle  -  fentanyl  -  Mexico City Earthquake  -  Mexico  -  America S Got,0.0
558,Mourning notices for stabbing arson victims stir politics of grief in Israel ,0.0
4866,Lets help Mexicos schools get back on their feet after the earthquake !  Collaborate and lets say together  # FuerzaMexico ὊA἞8἟1἟2἟D,0.0
1478, @ MelissaPonzio1 can you send a prayer for Italian victims  ?  ὡ4἞E἟9  # earthquake  # PrayForItaly,0.0
6351,RT  @ IndyUSA :  Ecuador authorities are still looking for earthquake survivors,0.0
6247,RT  @ Hayley_Barlow :  Death toll in Ecuador has risen to 350 .  Drone footage shows aftermath of the 7 . 8 magnitude earthquake,3.0
2057,RT  @ radionz :  BREAKING :  A tsunami warning for all southern coastal areas of NZ has been issued by the the Ministry of Civil Defence .   # eqnz,3.0
2212,"BREAKING :  In New Zealand, Two people confirmed dead due to ANOTHER Christchurch Earthquake .  Tsunamis are possible . ",3.0
2030,RT  @ johnmcinneshall :  Aftershocks are the perfect excuse to take a nap under your desk .   # eqnz  # barfquake,0.0
208,INEC Office in Abia Set Ablaze   -   ,0.0
371,HAPPENING NOW   -   HATZOLAH EMS AMBULANCE RESPONDING WITH DUAL SIRENS AND ,0.0
5129,Amigos !  Im selling some homemade prints to collect a little  $  $  for  @ topos  &  help Mexicos earthquake victims !   Info,0.0
2411," @ skye_rtin Im a 2011 chch eqnz refugee, so yeah .  Its just so tiring",0.0
4127,"I cn feel d pain of d ppl of  # Mirpur and other areas being effected by todays earthquake .  People of  # AJK, # Pakistan plz hlp d victims in this situation .  I hv suffered and seen the miseries of such catastrophe in 2005 .  May Allah bless us all with mercy .   # earthquake  @ farooq_pm",0.0
6516,"RT  @ CanadaFP :  Canadian consular officials are now in Manta,  # Ecuador, to locate and provide assistance to affected Canadians",0.0
1066,Send a message at 45500 and you will give 2 euros for the italian victims SHARE !  !   # ItalyEarthquake  # PrayForItaly,0.0
4684,With a unit of Mexicos army that participated in rescue operations during the earthquake . ,0.0
878, @ DoveCameron please Dove !  Im so sad My country needs help BC of the  # ItalyEarthquake text to the number 45500 to donate !  WE NEED YOUR HELP☆,0.0
468,RT  :   Geek_Apocalypse  :   4pm GMT   :  Hesse plays dark souls 2 day 9  :       #  etcPB,0.0
1522,"RT  @ crocerossa :   # ItalyEarthquake, heres how you can donate outside Italy : ",0.0
2278,RT  @ PetoneBeach :  Significant damage in Wellington CBD .  Central streets being evacuated  # eqnz Recommend you listen to  @ radionz,3.0
182,Haha South Tampa is getting flooded hah  -   WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK   #  flooding,0.0
386,Be annihilated for status education mba on behalf of a on easy street careen  :   eOvm ,0.0
3696,RT  @ flexbangtan :  There was a pretty big earthquake here in pakistan and I didn’t even feel it .  I hope everyone is safe ὉEᾗA  # earthquake,0.0
5359,"Pray For Mexico :   @ Beyonce,  @ NICKIMINAJ,  @ selenagomez  &  other celebs react to Mexico City earthquake",0.0
940,Vatican spokesman says  # PopeFrancis sent six Vatican police officers to Amatrice to assist with rescue / relief efforts  # ItalyEarthquake,0.0
3540,Severe  # earthquake in Punjab .  Heavy loss has been reported till now .  May Allah protect us .  Ameen ! ,0.0
2232,Beautiful calm day in Cambridge .  Thoughts are wish those suffering today in South Island .   # eqnz,0.0
1370,RT  @ US__Marshall :  My deepest condolences to the family of victims of  # ItalyEarthquake ἞E἟9,0.0
6604,From Ecuadors president this am :  Official death toll 233 .  Tarqui in Manta very affected .  Pedernales destroyed . ,3.0
1094,UPDATE :  death toll rises to 120 in 6 . 2 magnitude  # ItalyEarthquake,3.0
2396,"Thinking of our friends around Kaikoura and other Earthquake affected areas .  Stay strong, New Zealand !  love",0.0
3679,"5 . 8 Magnitude earthquake hits  # Pakistan - administered  # Kashmir, with witnesses saying at least 50 people have been injured",3.0
4339,RT  @ JohnnyGWeir :  Praying for Mexico and all those affected by another horrible earthquake .  Be strong and stay safe !  ❤️἟2἟DὖFSé fuerte ! ,0.0
5296,"RT  @ Breathe4Mendes :  Apparently, fans spotted Shawn buying food and water for those affected by the earthquake in Mexico !  We stan an absolut",0.0
1864,"OMG thoughts are with people in Kaikoura  # eqnz .  This isnt my normal  # CodeLikeAGirl feed, but I am married to a kiwi so hits close to home",0.0
4103,My Thoughts and Prayers for everyone affected by this terrible Earthquake today in Pakistan and Kashmir  -  So - Star 5 . 8 magnitude  # earthquake jolts several parts of Pakistan  # Pakistan  # Kashmir,0.0
5708,RT  @ BBCWorld :  Ecuador quake death toll hits 413,3.0
2451,RT  @ WSJ :  Tsunami warning issued after New Zealand rocked by strong earthquake  ὑ3,3.0
456,And so it begins  .    .   day one of the snow apocalypse,0.0
4295,RT  @ ayeshacurry :   @ Donald Trump ὤ4Okay Donate to earthquake relief here !  !  ! ,0.0
953,"RT  @ fentyselenas :   # PrayForItaly I hope everyone stays safe after the earthquake, all the love and prayers to you all !  ὡ4ὤFἿDὉB",0.0
1588," # PrayForItaly even tho i dont live there anymore, it broke my heart seeing the pics after the earthquake and reading about the deaths ὤFἿB",0.0
4788,Topos is helping rescue people from the collapsed buildings in Mexico due to earthquake .  Here is the info if you can donate !  ! ,0.0
1195,"RT  @ BaselAbuwarda :  My beloved  # Italy i know the feeling of devastating, loss &  being under the rubble BE STONG as ALWAYS i  # Prayforitaly htt",0.0
5768,"RT  @ EdnaSchmidt :  Im in Ecuador right now, Begging 4 help in Canoa, pacific coast .  There is no way to get there by road .  People r in desper",0.0
504,Sadly How Windows 10 Reveals Microsoft  '  s Ethics Armageddon ,0.0
4665,RT  @ GigiGraciette :  In Mexico City alone 180 people have died in the  # MexicoEarthquake including 28 children .  Ὁ4 @ foxla,3.0
20,"Fugitive  '  s arrest like a   '  quake,  '   but Mafia very resilient ",0.0
5244,Families await news of their loved ones as rescue workers search for survivors of the devastating Mexico earthquake,0.0
846,Hi there !   @ tomnod are you available for a call regarding earthquake in Ecuador ?  Were putting together a group for mapping affected areas . ,0.0
4289,Meet the  # volunteers helping after  # Mexico’s  # earthquake : ,0.0
4319,I liked a  @ YouTube video  Mexico hit by another deadly earthquake,3.0
3224,RT  @ SyedaHijab14 :  May Allah Almighty Protect You All  !  !   # earthquake  # MirpurAzadKashmir,0.0
725,RT  @ AnnaESmaill :  Water receding Waikanae Beach .  Second trip to higher ground this weird night  # eqnz,0.0
6229," @ TheEllenShow please Ellen, help us sharing this !   # PrayForEcuador  # EcuadorEarthquake  # EcuadorListoYSolidario",0.0
3473,Decorate a Small Bedroom  # AHC  # Construction  # RealEstate  # Highrise  # buildings  # Pakistan  # Islamabad  # Rawalpindi  # Apartments  # Hotels  # Commercial  # Residential  # TeamAHC_01 Trending :   # ImranKhan Becky G  # Malaysia  # BillGates  # CPEC,0.0
1940,"Sad to think that only days ago I was at Ohau, and now it may be destroyed ὢBὉ4  # eqnz",0.0
6605,"RT  @ ReutersIndia :  Major earthquake rocks  # Ecuador, kills at least 41   |  Watch video",3.0
4856,"RT  @ kimbopiaggins :  Dear friends, Oxfam Mexico is responding to the 19 - S earthquake .  Please donate",0.0
141, @  UltraXBT Or an earthquake happens and your fucked and lost at sea lol  . ,0.0
1358,"Please, share this message, its very important for us to get all the help you can give ! ",0.0
2088,"RT  @ BBCBreaking :  Tsunami warning issued after 7 . 1 magnitude earthquake hits off New Zealand, civil defence authorities say",3.0
6609,DONATE to  # Ecuador Red Cross  @ CruzRojaEcuador  @ ammado fundraiser to help earthquake victims by clicking here  Thanks . ,0.0
2487,The area from Seddon to Ward has been checked by helicopters and some damage to electrical transmission poles has been found  # eqnz,3.0
3508,A lot of area damaged due to  # earthquake in  # azadkashmir  # Mirpur May Allah save and protect everyone .  Ameen,3.0
6575,Photos from Ecuador show massive earthquakes devastation :  Rescuers and aid from all over the world are flood,0.0
2702,RT  @ indiaarie :  Sad to hear about the  # earthquake in  # NewZealand  -  TRULY BEAUTIFUL COUNTRY .  TRULY BEAUTIFUL PEOPLE . ,0.0
1437,RT  @ EUintheUS :  Mourning the loss of life from the  # ItalyEarthquake at the EU today .   # terremoto,0.0
6509,"Earthquake Kills 77 in Ecuador, Devastates Coastal Area via NYT",3.0
3260,"Injuries reported after 6 . 3  # earthquake hit along  # Pakistan - India border .  Reportedly, Azad  # Jammu and  # Kashmir are badly effected, as well as Indian occupied Kashmir but no news coming out due to communication blackout imposed by India .  4 died, 50 injured",3.0
1343,RT  @ Rosa_Camm :  Help us People !   # protezionecivile  # prayforItaly  # amatrice  # CentroItalia  # TerremotoItalia,0.0
5796,RT  @ GMA :  Drone footage shows collapsed roadway in Ecuadors largest city after 7 . 8 - magnitude quake : ,3.0
2193,"Remarkably, this is the sum total of  # eqnz damage at our place :  a smashed kina .  Feeling very fortunate . ",3.0
3973,RT  @ Turkey_Istambul :  The issue of Kashmir is not only a matter of  # Pakistan but of the whole Muslim world  # TurkeyPakistanBrotherHood  @ ali,0.0
5462,Comissions taken since today well be part donation to help the rescue teams on Mexico and other cities because of the earthquake !  Thanks ! ,0.0
1151,RT  @ SkyNewsBreak :  Italian authorities say the number of people killed in the earthquake has risen to 290 as bodies continue to be recovered,3.0
3611,"Upset to see imagery of damage resulting from the  # earthquake in Azad Kashmir where casualties and hundreds of injuries have been reported .  As citizens, we must do all we are capable of to assist our brethren in need .  May the suffering families soon find relief ὤF",3.0
6058,RT  @ BuzzFeedNews :  Officials :  The death toll in the Ecuador earthquake is now 77 .  Another 588 are injured . ,3.0
4165,RT  @ DreadThanatos :  I hope everyone is fine in Pakistan .   # earthquake,0.0
6323, (  # Los Del Sonido )  Death Toll in Ecuador Rises to 233 After Earthquake :  Thousands of armed forces personnel were dispatche  (  # Ivan Berroa ) ,3.0
6052,RT  @ KQEDnews :  Hundreds Killed as 7 . 8 Quake Devastates Ecuadors Coast,3.0
3744,"Ya Allah khair, hopes and prayer for everone to stay safe may Allah almighty protect us and  # Mirpur  # earthquake",0.0
3847,May ALLAH help us  !   # earthquake,0.0
4806,RT  @ tiesto :  ❤️❤️ RT  @ 1027KIISFM :  Hero Dog Has Been Rescuing Earthquake Victims in Mexico,0.0
2541,"I cant believe people are asking for specifics  -  IF YOU LIVE ON THE EAST COAST OF NZ, MOVE TO HIGHER GROUND !   # eqnz  # earthquake  # nz",3.0
4557,RT  @ ABC7 :  Mexico earthquake :  LA - based nonprofit COFEM launches fundraiser to help relief efforts,0.0
2164,"Please donate to our special earthquake appeal .  Help your neighbours, friends  &  fellow Kiwis   # eqnz",0.0
4719, @ jenniferniven can u help RT this link with a list of charities to help victims of the  # earthquake in  # Mexico Please ? ,0.0
5627,RT  @ CanadianPM :  Canada sends its deepest condolences to the loved ones of victims of last nights horrific earthquake in Ecuador . ,0.0
5091,Hundreds of cyclists are helping earthquake victims in CDMX My report for  @ cyclingtips Photos by  @ ClaytonTConn,0.0
2958,Broken roads and buckled buildings  -  weve been to one of the towns at the centre of NZ earthquakes for  @ BBCWorld and  @ BBCBreakfast  # eqnz,3.0
3218,"Many roads are damaged in Mirpur after deadly  # earthquake, now to avoid any delays only option left with our Pak Army is to airdrop 500 fighters in  # Kashmir .  I request Pak govt to immediately repair those roads as travelling on road is much cheaper than airdropping mujhahids . ",3.0
3648,Sad news coming from home  :  /  More than 400 people injured and more than 20 casualties reported as a 5 . 8 magnitude earthquake shook Northern Pakistan .   # IJ1920  # JSP1920,3.0
6081,Drone footage reveals full extent of Japan earthquake damage : ,3.0
3483,As more information is coming in about earthquake north of Jhelum in  # Pakistan I regret very much to hear reports from Media and State Disaster management authority on 4 deaths and 100 injured . ,3.0
4440,"Lady Gaga will be donating  $ 1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake . ",0.0
1002,RT  @ JON_D84 :  Is anyone aware of any local Italian charities helping the earthquake victims  # TerremotoItalia  # ItalyEarthquake  @ Massimiliano5,0.0
6337,Massive earthquake strikes Ecuador killing dozens,3.0
2592,Just what we need .  Rain and gale force winds .   # earthquake  # eqnz,0.0
3325,The place is Kashmir .  EarthQuake happened today .  May Allah protect us .   # SafeEveryOne  # Kashmir  # Earthquake,0.0
2646,Are there tsunami sirens or evacuations happening in Auckland ?  Especially Maraetai and Beachlands ?   # eqnz,3.0
1334,RT  @ PetesWire :  Prayers in  # Bostons  # NorthEnd for the victims of devastating  # ItalyEarthquake .   # FOX25,0.0
4785,"A strong earthquake in Mexico has left more than 200 dead, including 22 children whose bodies were found in a collapsed school . ",3.0
3713,The damage in Mirpur AK .   # earthquake  # BreakingNews,3.0
6554,"RT  @ TheEarthStory :  Collapsed road / bridge here on top of cars from the  # Ecuador  # quake, reminds of the 1989 freeway collapse",3.0
4726,"RT  @ RealGDT :  Tonight, at AGO I will suggest 2 or 3 donation links for Mexicos earthquake relief fund .  I have been -  and will continue -  doi",0.0
2400,Reading that theres a higher chance now of another big earthquake soon isnt comforting + the impending storms !  Stay safe everyone  # eqnz,0.0
5324,RT  @ HumanityRoad :   # MexicoEarthquake Volunteers needed in  # Morelos .   # sismoMX  # hmrd,0.0
3882,Please remember and pray for borthers and sisters who are effected of  # earthquake  .  It was such massive earthquake . ,0.0
6456,RT  @ RitaGonzalezMIA :  My thoughts and prayers for the victims of  # EcuadorEarthquake  .  The world is with you !  Be strong ! ,0.0
6506,Prayers for the victims of Ecuador Earthquake from Pakistan . ,0.0
3561,Yet no strict punishment for rapists and child abusers .  Yet murderers are set free .   # SialkotBrothers  # Salahuddin  # kasurchildren May Allah forgive our sins and help us bring justice in our society .   # earthquake,0.0
